Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,152960,7101,0,145859,0,4.64,0.0,0.0,38928341,3929.0,152448,512,0.34
Albania,144079,2490,0,141589,905,1.73,0.0,0.0,2877800,50066.0,138790,5289,3.81
Algeria,194671,5179,0,189492,485,2.66,0.0,0.0,43851043,4439.0,191171,3500,1.83
Andorra,15025,130,0,14895,0,0.87,0.0,0.0,77265,194461.0,14988,37,0.25
Angola,47079,1192,0,45887,150,2.53,0.0,0.0,32866268,1432.0,45817,1262,2.75
Antigua and Barbuda,1638,43,0,1595,40,2.63,0.0,0.0,97928,16727.0,1490,148,9.93
Argentina,5171458,111324,0,5060134,3725,2.15,0.0,0.0,45195777,114423.0,5130852,40606,0.79
Armenia,240953,4812,0,236141,692,2.0,0.0,0.0,2963234,81314.0,237249,3704,1.56
Australia,51256,999,0,50257,1321,1.95,0.0,0.0,50919400,1007.0,44026,7230,16.42
Austria,684541,10777,0,673764,1322,1.57,0.0,0.0,9006400,76006.0,675405,9136,1.35
Azerbaijan,413986,5512,0,408474,4241,1.33,0.0,0.0,10139175,40830.0,388437,25549,6.58
Bahamas,17940,354,0,17586,0,1.97,0.0,0.0,393248,45620.0,16962,978,5.77
Bahrain,272246,1388,0,270858,98,0.51,0.0,0.0,1701583,159996.0,271534,712,0.26
Bangladesh,1489589,25926,0,1463663,3436,1.74,0.0,0.0,164689383,9045.0,1457194,32395,2.22
Barbados,4881,48,0,4833,92,0.98,0.0,0.0,287371,16985.0,4628,253,5.47
Belarus,477901,3745,0,474156,1636,0.78,0.0,0.0,9449321,50575.0,468415,9486,2.03
Belgium,1177909,25360,0,1152549,0,2.15,0.0,0.0,23021022,51167.0,1163726,14183,1.22
Belize,16012,356,0,15656,0,2.22,0.0,0.0,397621,40270.0,15415,597,3.87
Benin,13366,128,0,13238,0,0.96,0.0,0.0,12123198,1103.0,10183,3183,31.26
Bhutan,2594,3,0,2591,2,0.12,0.0,0.0,771612,3362.0,2585,9,0.35
Bolivia,489802,18402,0,471400,869,3.76,0.0,0.0,11673029,41960.0,486394,3408,0.7
Bosnia and Herzegovina,212306,9785,0,202521,0,4.61,0.0,0.0,3280815,64711.0,209073,3233,1.55
Botswana,153793,2213,0,151580,0,1.44,0.0,0.0,2351625,65399.0,146461,7332,5.01
Brazil,20728605,579010,0,20149595,24699,2.79,0.0,0.0,422706534,49038.0,20556487,172118,0.84
Brunei,2380,7,0,2373,0,0.29,0.0,0.0,437483,5440.0,1455,925,63.57
Bulgaria,451148,18705,0,432443,1004,4.15,0.0,0.0,6948445,64928.0,440911,10237,2.32
Burkina Faso,13759,171,0,13588,5,1.24,0.0,0.0,20903278,658.0,13699,60,0.44
Burma,389134,15077,0,374057,2932,3.87,0.0,0.0,54409800,7152.0,371512,17622,4.74
Burundi,11994,38,0,11956,176,0.32,0.0,0.0,11890781,1009.0,10791,1203,11.15
Cabo Verde,35147,308,0,34839,68,0.88,0.0,0.0,555988,63215.0,34686,461,1.33
Cambodia,91770,1870,0,89900,401,2.04,0.0,0.0,16718971,5489.0,88735,3035,3.42
Cameroon,83425,1350,0,82075,0,1.62,0.0,0.0,26545864,3143.0,82454,971,1.18
Canada,1495859,26953,0,1468906,1462,1.8,0.0,0.0,75750184,19747.0,1474854,21005,1.42
Central African Republic,11270,99,0,11171,0,0.88,0.0,0.0,4829764,2333.0,11251,19,0.17
Chad,4990,174,0,4816,1,3.49,0.0,0.0,16425859,304.0,4985,5,0.1
Chile,1637234,36841,0,1600393,607,2.25,0.0,0.0,36692988,44620.0,1633153,4081,0.25
China,106982,4848,0,102134,39,4.53,0.0,0.0,2809352660,38.0,106746,236,0.22
Colombia,4903304,124743,0,4778561,2141,2.54,0.0,0.0,99141018,49458.0,4886897,16407,0.34
Comoros,4062,147,0,3915,7,3.62,0.0,0.0,869595,4671.0,4044,18,0.45
Congo (Brazzaville),13533,183,0,13350,0,1.35,0.0,0.0,89561403,151.0,13398,135,1.01
Congo (Kinshasa),54508,1057,0,53451,0,1.94,0.0,0.0,5518087,9878.0,53899,609,1.13
Costa Rica,455784,5431,0,450353,0,1.19,0.0,0.0,5094114,89473.0,440647,15137,3.44
Cote d'Ivoire,54856,424,0,54432,290,0.77,0.0,0.0,26378274,2080.0,53456,1400,2.62
Croatia,372814,8324,0,364490,595,2.23,0.0,0.0,4105268,90814.0,369392,3422,0.93
Cuba,634161,5067,0,629094,6850,0.8,0.0,0.0,11326616,55989.0,573751,60410,10.53
Cyprus,113069,497,0,112572,213,0.44,0.0,0.0,1207361,93650.0,111140,1929,1.74
Czechia,1678731,30401,0,1648330,187,1.81,0.0,0.0,10708981,156759.0,1677378,1353,0.08
Denmark,344679,2579,0,342100,877,0.75,0.0,0.0,5897840,58442.0,338039,6640,1.96
Diamond Princess,712,13,0,699,0,1.83,0.0,0.0,0,39274.697916666664,712,0,0.0
Djibouti,11728,157,0,11571,7,1.34,0.0,0.0,988002,11870.0,11690,38,0.33
Dominica,1638,4,0,1634,299,0.24,0.0,0.0,71991,22753.0,953,685,71.88
Dominican Republic,349620,4007,0,345613,367,1.15,0.0,0.0,10847904,32229.0,347637,1983,0.57
Ecuador,501049,32223,0,468826,965,6.43,0.0,0.0,17643060,28399.0,495115,5934,1.2
Egypt,287644,16714,0,270930,251,5.81,0.0,0.0,102334403,2811.0,286168,1476,0.52
El Salvador,94060,2890,0,91170,0,3.07,0.0,0.0,6486201,14502.0,92686,1374,1.48
Equatorial Guinea,9173,123,0,9050,0,1.34,0.0,0.0,1402985,6538.0,9049,124,1.37
Eritrea,6639,37,0,6602,0,0.56,0.0,0.0,3546427,1872.0,6620,19,0.29
Estonia,141014,1287,0,139727,322,0.91,0.0,0.0,1326539,106302.0,138706,2308,1.66
Eswatini,42719,1067,0,41652,236,2.5,0.0,0.0,1160164,36822.0,40283,2436,6.05
Ethiopia,305077,4631,0,300446,1906,1.52,0.0,0.0,114963583,2654.0,295019,10058,3.41
Fiji,45631,479,0,45152,258,1.05,0.0,0.0,896444,50902.0,43294,2337,5.4
Finland,125474,1022,0,124452,619,0.81,0.0,0.0,5540718,22646.0,121543,3931,3.23
France,6813516,114453,0,6699063,35383,1.68,0.0,0.0,68151730,99976.0,6682952,130564,1.95
Gabon,25819,165,0,25654,57,0.64,0.0,0.0,2225728,11600.0,25667,152,0.59
Gambia,9533,311,0,9222,0,3.26,0.0,0.0,2416664,3945.0,9364,169,1.8
Georgia,540449,7175,0,533274,4247,1.33,0.0,0.0,3989175,135479.0,510941,29508,5.78
Germany,3933585,92136,0,3841449,8395,2.34,0.0,0.0,166803158,23582.0,3870095,63490,1.64
Ghana,117636,1008,0,116628,596,0.86,0.0,0.0,31072945,3786.0,113957,3679,3.23
